x1,x2,objective
0.380446,0.567822,-0.050000
0.380446,0.567822,-0.050000
0.380446,0.567822,-0.050000
0.380446,0.567822,-0.050000
0.075854,0.053950,-0.000000
0.075854,0.053950,-0.000000
0.075854,0.053950,-0.000000
0.075854,0.053950,-0.000000
0.075854,0.053950,-0.000000
0.075854,0.053950,-0.000000
0.075854,0.053950,-0.000000
0.075854,0.053950,-0.000000
0.530798,0.779167,-0.025641
0.530798,0.779167,-0.025641
0.530798,0.779167,-0.025641
0.517528,0.720730,-0.027027
0.457813,0.769428,-0.038462
0.401416,0.676902,-0.043478
0.341701,0.725599,-0.050000
0.341701,0.725599,-0.050000
0.341701,0.725599,-0.050000
0.341701,0.725599,-0.050000
0.341701,0.725599,-0.050000
0.341701,0.725599,-0.050000
0.341701,0.725599,-0.050000
0.341701,0.725599,-0.050000
0.341701,0.725599,-0.050000
0.341701,0.725599,-0.050000
0.341701,0.725599,-0.050000
0.341701,0.725599,-0.050000
0.341701,0.725599,-0.050000
0.934011,0.129906,-0.000000
0.934011,0.129906,-0.000000
0.934011,0.129906,-0.000000
0.934011,0.129906,-0.000000
0.934011,0.129906,-0.000000
0.934011,0.129906,-0.000000
0.934011,0.129906,-0.000000
0.934011,0.129906,-0.000000
0.934011,0.129906,-0.000000
0.934011,0.129906,-0.000000
0.934011,0.129906,-0.000000
0.568824,0.469391,-0.000000
0.568824,0.469391,-0.000000
0.568824,0.469391,-0.000000
0.568824,0.469391,-0.000000
0.568824,0.469391,-0.000000
0.568824,0.469391,-0.000000
0.568824,0.469391,-0.000000
0.568824,0.469391,-0.000000
0.568824,0.469391,-0.000000
0.568824,0.469391,-0.000000
0.568824,0.469391,-0.000000
0.011902,0.337123,-0.000000
0.011902,0.337123,-0.000000
0.011902,0.337123,-0.000000
0.011902,0.337123,-0.000000
0.011902,0.337123,-0.000000
0.011902,0.337123,-0.000000
0.011902,0.337123,-0.000000
0.011902,0.337123,-0.000000
0.011902,0.337123,-0.000000
0.011902,0.337123,-0.000000
0.162182,0.794285,-0.050000
0.162182,0.794285,-0.050000
0.162182,0.794285,-0.050000
0.162182,0.794285,-0.050000
0.162182,0.794285,-0.050000
0.162182,0.794285,-0.050000
0.162182,0.794285,-0.050000
0.162182,0.794285,-0.050000
0.162182,0.794285,-0.050000
0.162182,0.794285,-0.050000
0.162182,0.794285,-0.050000
0.311215,0.528533,-0.050000
0.311215,0.528533,-0.050000
0.311215,0.528533,-0.050000
0.311215,0.528533,-0.050000
0.311215,0.528533,-0.050000
0.311215,0.528533,-0.050000
0.311215,0.528533,-0.050000
0.311215,0.528533,-0.050000
0.311215,0.528533,-0.050000
0.311215,0.528533,-0.050000
0.311215,0.528533,-0.050000
0.165649,0.601982,-0.050000
0.165649,0.601982,-0.050000
0.165649,0.601982,-0.050000
0.165649,0.601982,-0.050000
0.165649,0.601982,-0.050000
0.165649,0.601982,-0.050000
0.165649,0.601982,-0.050000
0.165649,0.601982,-0.050000
0.165649,0.601982,-0.050000
0.165649,0.601982,-0.050000
0.165649,0.601982,-0.050000
0.262971,0.654079,-0.050000
0.262971,0.654079,-0.050000
0.262971,0.654079,-0.050000
0.262971,0.654079,-0.050000
0.262971,0.654079,-0.050000
0.262971,0.654079,-0.050000
0.262971,0.654079,-0.050000
0.262971,0.654079,-0.050000
0.262971,0.654079,-0.050000
0.262971,0.654079,-0.050000
0.262971,0.654079,-0.050000
0.689215,0.748152,-0.021739
0.689215,0.748152,-0.021739
0.689215,0.748152,-0.021739
0.637523,0.729448,-0.024390
0.637523,0.729448,-0.024390
